areaCode,areaName,areaType,date,cumCasesBySpecimenDate
E12000002,North West,region,2021-04-17,603798
E12000002,North West,region,2021-04-16,603632
E12000002,North West,region,2021-04-15,603418
E12000002,North West,region,2021-04-14,603158
E12000002,North West,region,2021-04-13,602871
E12000002,North West,region,2021-04-12,602598
E12000002,North West,region,2021-04-11,602287
E12000002,North West,region,2021-04-10,602020
E12000002,North West,region,2021-04-09,601769
E12000002,North West,region,2021-04-08,601448
E12000002,North West,region,2021-04-07,601086
E12000002,North West,region,2021-04-06,600719
E12000002,North West,region,2021-04-05,600350
E12000002,North West,region,2021-04-04,599996
E12000002,North West,region,2021-04-03,599698
E12000002,North West,region,2021-04-02,599421
E12000002,North West,region,2021-04-01,599107
E12000002,North West,region,2021-03-31,598668
E12000002,North West,region,2021-03-30,598216
E12000002,North West,region,2021-03-29,597768
E12000002,North West,region,2021-03-28,597299
E12000002,North West,region,2021-03-27,596647
E12000002,North West,region,2021-03-26,596191
E12000002,North West,region,2021-03-25,595639
E12000002,North West,region,2021-03-24,594916
E12000002,North West,region,2021-03-23,594195
E12000002,North West,region,2021-03-22,593497
E12000002,North West,region,2021-03-21,592709
E12000002,North West,region,2021-03-20,591946
E12000002,North West,region,2021-03-19,591406
E12000002,North West,region,2021-03-18,590789
E12000002,North West,region,2021-03-17,590050
E12000002,North West,region,2021-03-16,589276
E12000002,North West,region,2021-03-15,588489
E12000002,North West,region,2021-03-14,587618
E12000002,North West,region,2021-03-13,586991
E12000002,North West,region,2021-03-12,586403
E12000002,North West,region,2021-03-11,585654
E12000002,North West,region,2021-03-10,584901
E12000002,North West,region,2021-03-09,584042
E12000002,North West,region,2021-03-08,583150
E12000002,North West,region,2021-03-07,582200
E12000002,North West,region,2021-03-06,581608
E12000002,North West,region,2021-03-05,580996
E12000002,North West,region,2021-03-04,580261
E12000002,North West,region,2021-03-03,579420
E12000002,North West,region,2021-03-02,578620
E12000002,North West,region,2021-03-01,577748
E12000002,North West,region,2021-02-28,576775
E12000002,North West,region,2021-02-27,576154
E12000002,North West,region,2021-02-26,575496
E12000002,North West,region,2021-02-25,574564
E12000002,North West,region,2021-02-24,573342
E12000002,North West,region,2021-02-23,572090
E12000002,North West,region,2021-02-22,570780
E12000002,North West,region,2021-02-21,569025
E12000002,North West,region,2021-02-20,567815
E12000002,North West,region,2021-02-19,566628
E12000002,North West,region,2021-02-18,565174
E12000002,North West,region,2021-02-17,563579
E12000002,North West,region,2021-02-16,561911
E12000002,North West,region,2021-02-15,560069
E12000002,North West,region,2021-02-14,557830
E12000002,North West,region,2021-02-13,556508
E12000002,North West,region,2021-02-12,555235
E12000002,North West,region,2021-02-11,553480
E12000002,North West,region,2021-02-10,551564
E12000002,North West,region,2021-02-09,549692
E12000002,North West,region,2021-02-08,547625
E12000002,North West,region,2021-02-07,545272
E12000002,North West,region,2021-02-06,543567
E12000002,North West,region,2021-02-05,541802
E12000002,North West,region,2021-02-04,539683
E12000002,North West,region,2021-02-03,537100
