ltla_name,ltla_code,start_date,end_date,dose,age_band,vaccines,population,percent_vaccine
Richmond upon Thames,E09000027,2020-12-08,2021-03-07,1st dose,75-79,5873,5656,1.0383663366336633
Southwark,E09000028,2020-12-08,2021-03-07,1st dose,75-79,3746,4777,0.7841741678877957
Sutton,E09000029,2020-12-08,2021-03-07,1st dose,75-79,5613,5720,0.9812937062937063
Tower Hamlets,E09000030,2020-12-08,2021-03-07,1st dose,75-79,2458,3465,0.7093795093795093
Waltham Forest,E09000031,2020-12-08,2021-03-07,1st dose,75-79,4463,5223,0.8544897568447253
Wandsworth,E09000032,2020-12-08,2021-03-07,1st dose,75-79,5117,5700,0.897719298245614
Westminster,E09000033,2020-12-08,2021-03-07,1st dose,75-79,4059,5656,0.7176449787835927
Barking and Dagenham,E09000002,2020-12-08,2021-03-07,1st dose,80+,4535,5685,0.7977132805628848
Barnet,E09000003,2020-12-08,2021-03-07,1st dose,80+,14494,16910,0.8571259609698403
Bexley,E09000004,2020-12-08,2021-03-07,1st dose,80+,11461,12831,0.8932273400358507
Brent,E09000005,2020-12-08,2021-03-07,1st dose,80+,8943,11307,0.7909259750596975
Bromley,E09000006,2020-12-08,2021-03-07,1st dose,80+,16499,17418,0.9472384889195086
Camden,E09000007,2020-12-08,2021-03-07,1st dose,80+,5782,8858,0.6527432829081057
Croydon,E09000008,2020-12-08,2021-03-07,1st dose,80+,12739,14802,0.860626942305094
Ealing,E09000009,2020-12-08,2021-03-07,1st dose,80+,10492,12405,0.8457879887142281
Enfield,E09000010,2020-12-08,2021-03-07,1st dose,80+,11415,12809,0.8911702709032712
Greenwich,E09000011,2020-12-08,2021-03-07,1st dose,80+,6605,7939,0.8319687618087921
Hackney and City of London,E09000012,2020-12-08,2021-03-07,1st dose,80+,4151,5950,0.6976470588235294
Hammersmith and Fulham,E09000013,2020-12-08,2021-03-07,1st dose,80+,4186,5274,0.7937049677664012
Haringey,E09000014,2020-12-08,2021-03-07,1st dose,80+,5768,7158,0.8058116792400112
Harrow,E09000015,2020-12-08,2021-03-07,1st dose,80+,10616,11813,0.8986709557267417
Havering,E09000016,2020-12-08,2021-03-07,1st dose,80+,12689,14470,0.8769177608845888
Hillingdon,E09000017,2020-12-08,2021-03-07,1st dose,80+,11054,12140,0.9105436573311367
Hounslow,E09000018,2020-12-08,2021-03-07,1st dose,80+,7668,8596,0.8920428106095859
Islington,E09000019,2020-12-08,2021-03-07,1st dose,80+,4274,5491,0.7783645966126389
Kensington and Chelsea,E09000020,2020-12-08,2021-03-07,1st dose,80+,4638,6494,0.714197720973206
Kingston upon Thames,E09000021,2020-12-08,2021-03-07,1st dose,80+,6129,6990,0.876824034334764
Lambeth,E09000022,2020-12-08,2021-03-07,1st dose,80+,5775,7466,0.7735065630859899
Lewisham,E09000023,2020-12-08,2021-03-07,1st dose,80+,6474,8037,0.8055244494214259
Merton,E09000024,2020-12-08,2021-03-07,1st dose,80+,6772,7421,0.9125454790459507
Newham,E09000025,2020-12-08,2021-03-07,1st dose,80+,4823,6780,0.7113569321533924
Redbridge,E09000026,2020-12-08,2021-03-07,1st dose,80+,9554,11007,0.867993095302989
Richmond upon Thames,E09000027,2020-12-08,2021-03-07,1st dose,80+,7801,8440,0.9242890995260663
Southwark,E09000028,2020-12-08,2021-03-07,1st dose,80+,5338,6976,0.7651949541284404
Sutton,E09000029,2020-12-08,2021-03-07,1st dose,80+,8402,9136,0.9196584938704028
Tower Hamlets,E09000030,2020-12-08,2021-03-07,1st dose,80+,3836,5249,0.7308058677843399
Waltham Forest,E09000031,2020-12-08,2021-03-07,1st dose,80+,6362,8376,0.7595510983763133
Wandsworth,E09000032,2020-12-08,2021-03-07,1st dose,80+,7325,8501,0.861663333725444
Westminster,E09000033,2020-12-08,2021-03-07,1st dose,80+,5481,9004,0.6087294535761884
Barking and Dagenham,E09000002,2020-12-08,2021-03-07,1st dose,Under 60,25611,127185,0.2013680858591815
Barnet,E09000003,2020-12-08,2021-03-07,1st dose,Under 60,58935,235415,0.2503451351867978
Bexley,E09000004,2020-12-08,2021-03-07,1st dose,Under 60,30337,143188,0.21186831298712183
Brent,E09000005,2020-12-08,2021-03-07,1st dose,Under 60,45067,201961,0.22314704324102178
Bromley,E09000006,2020-12-08,2021-03-07,1st dose,Under 60,43941,189345,0.23206844648657213
Camden,E09000007,2020-12-08,2021-03-07,1st dose,Under 60,27522,179650,0.15319788477595325
Croydon,E09000008,2020-12-08,2021-03-07,1st dose,Under 60,44376,228112,0.19453601739496387
Ealing,E09000009,2020-12-08,2021-03-07,1st dose,Under 60,42522,206059,0.20635837308731966
Enfield,E09000010,2020-12-08,2021-03-07,1st dose,Under 60,51410,197642,0.2601167767984538
Greenwich,E09000011,2020-12-08,2021-03-07,1st dose,Under 60,37179,182722,0.20347303554032903
Hackney and City of London,E09000012,2020-12-08,2021-03-07,1st dose,Under 60,28063,197835,0.1418505320089974
Hammersmith and Fulham,E09000013,2020-12-08,2021-03-07,1st dose,Under 60,20744,123578,0.16786159348751395
Haringey,E09000014,2020-12-08,2021-03-07,1st dose,Under 60,31568,175547,0.17982648521478578
Harrow,E09000015,2020-12-08,2021-03-07,1st dose,Under 60,43267,144196,0.3000568670420816
